URL,Image_URL,Name,Original_Price(INR),Discount_Price(INR),Description
https://www.nike.com/ph/t/vomero-18-road-running-shoes-snsbkH/HM6803-215,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/47bd2587-ff6d-49bc-8ea5-46b595230b54/NIKE+VOMERO+18.png",Nike Vomero 18,13096.2,10476.96,"Colour Shown: Medium Ash/College Grey/Pale Ivory/Black
Style: HM6803-215
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/reactx-rejuven8-shoes-XsrrS0/HV5062-700,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/40fb32ac-236b-4f94-af07-9232929139e7/WMNS+NIKE+REACTX+REJUVEN8.png",Nike ReactX Rejuven8,6076.2,3645.72,"Give your feet a rest. Made from soft and responsive ReactX foam, the Rejuven8 uses some of our best tech to create a recovery shoe so comfortable you'll want to wear it every day.

Colour Shown: Barely Volt/Barely Volt/Barely Volt
Style: HV5062-700
Country/Region of Origin: Indonesia"
https://www.nike.com/ph/t/journey-run-road-running-shoes-Q5kF8v/FN0228-008,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/56093047-a25b-482f-ab64-0a9a43285bbd/NIKE+JOURNEY+RUN.png",Nike Journey Run,7792.2,6233.76,"Colour Shown: Black/Anthracite/Cyber/Summit White
Style: FN0228-008
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/vomero-18-road-running-shoes-tSYEf6Qr/IF0514-401,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/1af40e98-4369-4536-9e75-97b879744198/NIKE+VOMERO+18+WIDE.png",Nike Vomero 18,13096.2,7857.72,"Colour Shown: Ashen Slate/Diffused Blue/Light Armoury Blue/Anthracite
Style: IF0514-401
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/offcourt-easyon-slides-HDQWc9/FD4109-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/c9ee9824-9a1b-4859-8d4c-4c24c5af942d/NIKE+OFFCOURT+EASYON+SLIDE.png",Nike Offcourt EasyOn,3424.2,2054.52,"We worked with disabled athletes to create an adaptable slide that meets your specific needs. It features a heel strap that's fully removable, making it easier to slip on and off. When it comes to comfort and support, we've got you covered with a padded top strap, contoured footbed and soft cushioning. The Offcourt slide is a great option for a prosthetic—or anyone who wants a quicker way to get going.

Colour Shown: Black/White
Style: FD4109-001
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/tatum-4-pf-basketball-shoes-akrecBRm/HQ4613-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/37ceddc9-af49-4245-8d56-b51d5d3a7e6b/JORDAN+TATUM+4+PF.png",Tatum 4 PF,11380.2,9104.16,"The Tatum 4 is a constant evolution, just like your game. A TPU shank underfoot keeps you more stable than ever, while still being the lightest shoe in our lineup. And the construction takes inspiration from athletic shoes to deliver the responsiveness and propulsion you need to stay ahead of the game.

Colour Shown: Black/White/University Red
Style: HQ4613-001
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/run-defy-road-running-shoes-rVrdTl/HM9594-008,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/dbc84efa-b73e-448f-b4fd-53b46a7f6535/NIKE+RUN+DEFY.png",Nike Run Defy,4828.2,3862.56,"Run by your own rules in the Nike Run Defy. A foam midsole, breathable upper and reliable traction combine to make a shoe that's ready for runs of all lengths and paces.

Colour Shown: Cannon/Mint Foam/Summit White/Seaweed
Style: HM9594-008
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/pegasus-road-running-shoes-xzQQKz/HQ2592-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e0ef926e-0e99-46d9-8198-6cafc92822ae/NIKE+PEGASUS+PREMIUM.png",Nike Pegasus Premium,18712.2,14969.76,"Colour Shown: College Grey/Dark Smoke Grey/Gum Medium Brown/Dark Grey
Style: HQ2592-010
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/sportswear-futura-365-cross-body-bag-PExW1jWH/HV6621-126,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/45531540-031a-4cc8-a61e-a9f9b1f2e83f/W+NSW+FUTURA+365+CRSSBDY-SWIRL.png",Nike Sportswear Futura 365,2176.2,1740.96,"Small but mighty, this bag gives you all the space you need to keep essentials at hand. An internal zip pocket provides a place to organise smaller items, while a zip pocket on the back allows you to securely store your phone.

Colour Shown: Sand Drift/Rose Gold/Rose Gold
Style: HV6621-126
Country/Region of Origin: Indonesia, Vietnam"
https://www.nike.com/ph/t/court-shot-shoes-ZfRXql/FQ8146-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0bb3ddb9-7093-4130-bfa9-eaf84dc7b538/COURT+SHOT.png",Nike Court Shot,6388.2,5110.56,"This low-profile shoe is a minimalist's staple. Its synthetic leather upper creates a classic look, while the stitching and textured Swoosh logo add just the right amount of elevated detail.

Colour Shown: Black/Black
Style: FQ8146-001
Country/Region of Origin: Indonesia"
