URL,Image_URL,Name,Original_Price(INR),Discount_Price(INR),Discount_Percentage
https://www.nike.com/ph/t/pegasus-easyon-road-running-shoes-NMBl5l/FQ7837-002,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/31c82b86-3a33-4d54-88d9-cd52ebcfb5b2/PEGASUS+EASYON.png",Nike Pegasus EasyOn,11536.2,9228.96,20.0
https://www.nike.com/ph/t/air-max-dn8-shoes-1OrcDDqL/IH4483-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/7ad6d087-1374-4671-bf63-ad11b80de9e9/W+NIKE+AM+DN8.png",Nike Air Max Dn8,16060.2,9636.12,40.0
https://www.nike.com/ph/t/gato-shoes-65qj2x/HQ6020-800,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/fd5068d2-a9fe-4075-9555-71ffff53e4b2/NIKE+GATO.png",Nike Gato,9664.2,5798.52,40.0
https://www.nike.com/ph/t/brasilia-9-5-training-duffel-bag-CjPRDM/DH7710-253,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4d5c6be7-54ec-4c8f-9e7c-0ceeeff47187/NK+BRSLA+M+DUFF+-+9.5+%2860L%29.png",Nike Brasilia 9.5,3112.2,2489.76,20.0
https://www.nike.com/ph/t/book-1-solar-red-ep-basketball-shoes-O1bt3031/IR0839-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/7b00a713-84d0-4dea-b6c4-2303aa3cabd6/BOOK+1+95+EP.png",Book 1 'Solar Red' EP,12316.2,9852.96,20.0
https://www.nike.com/ph/t/journey-run-road-running-shoes-N1vP09/FJ7765-114,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/71224de9-a872-4900-9d16-982f207a2113/W+NIKE+JOURNEY+RUN.png",Nike Journey Run,7792.2,4675.32,40.0
https://www.nike.com/ph/t/pegasus-41-road-running-shoes-NW3xHb/FQ0965-108,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0aed0688-67a5-41ce-9b62-c9200f80fbb5/W+AIR+ZOOM+PEGASUS+41+WIDE.png",Nike Pegasus 41,11536.2,9228.96,20.0
https://www.nike.com/ph/t/sb-logo-skate-t-shirt-LBBxZV/DC7818-010,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/025985b3-ac5c-494c-af03-ab01aa7c8f58/AS+M+NK+SB+TEE+LOGO+LBR.png,Nike SB,2020.2,1616.16,20.0
https://www.nike.com/ph/t/cortez-se-shoes-L272Ml/HQ3490-099,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b28ec80a-e46e-4e2e-9a5e-3137cbb48160/NIKE+CORTEZ+SE.png",Nike Cortez SE,8572.2,6857.76,20.0
https://www.nike.com/ph/t/vomero-18-gore-tex-waterproof-road-running-shoes-with-reflective-design-accents-tk4cS87v/HQ7002-300,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/93fe93a2-5f79-44f7-9823-c2e5cdb861ec/W+NIKE+VOMERO+18+GTX.png",Nike Vomero 18 GORE-TEX,15592.2,12473.76,20.0
